,0
남자친구,0.19302260554617368
여성,0.1109548799454907
딸,0.10437096581377585
여자친구,0.09406542980309321
남자아이,0.06698810716164592
남성,0.05875732710518882
할아버지,0.05795263509798475
남자,0.049881848401703094
할머니,0.0442904063875022
아들,0.0433064716576236
년,0.03316684649596868
여자아이,0.032645218284282976
아내,0.03228949603715815
놈,0.03219503477883106
여자,0.02471260770909533
남편,0.02140011977448198
